k;description;category
30481;Fish fillets: frozen, salmon, Pacific (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou, Oncorhynchus rhodurus), Atlantic (Salmo salar), and Danube (Hucho hucho);refrigerated cargo
30482;Fish fillets: frozen, trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster);refrigerated cargo
30483;Fish fillets: frozen, flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae);refrigerated cargo
30484;Fish fillets: frozen, swordfish (Xiphias gladius);refrigerated cargo
30485;Fish fillets: frozen, toothfish (Dissostichus spp.);refrigerated cargo
30486;Fish fillets: frozen, herrings (Clupea harengus, Clupea pallasii);refrigerated cargo
30487;Fish fillets: frozen, tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis);refrigerated cargo
30488;Fish fillets: frozen, dogfish, other sharks, rays and skates (Rajidae);refrigerated cargo
30489;Fish fillets: frozen, of fish n.e.c. in heading 0304.8;refrigerated cargo
30491;Fish meat, excluding fillets, whether or not minced: frozen, swordfish (Xiphias gladius);refrigerated cargo
30492;Fish meat, excluding fillets, whether or not minced: frozen, toothfish (Dissostichus spp.);refrigerated cargo
30493;Fish meat, excluding fillets, whether or not minced: frozen, tilapias, catfish, carp, eels, Nile perch, and snakeheads;refrigerated cargo
30494;Fish meat, excluding fillets, whether or not minced: frozen, Alaska Pollack (Theragra chalcogramma);refrigerated cargo
30495;Fish meat, excluding fillets, whether or not minced: frozen, of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, other than Alaska Pollack (Theragra chalcogramma);refrigerated cargo
30496;Fish meat, excluding fillets, whether or not minced: frozen, dogfish and other sharks;refrigerated cargo
30497;Fish meat, excluding fillets, whether or not minced: frozen, rays and skates (Rajidae);refrigerated cargo
30499;Fish meat, excluding fillets, whether or not minced: frozen, n.e.c. in item no. 0304.9;refrigerated cargo
30510;Fish: flours, meals and pellets, fit for human consumption;container
30520;Fish: livers, roes and milt of fish, dried, smoked, salted or in brine;container
30531;Fish fillets: dried, salted or in brine, but not smoked, tilapias, catfish, carp, eels, Nile perch, and snakeheads;container
30532;Fish fillets: dried, salted or in brine, but not smoked, of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae;container
30539;Fish fillets: dried, salted or in brine, but not smoked, n.e.c. in item no. 0305.3;container
30541;Fish: smoked, whether or not cooked before or during smoking, salmon, Pacific (Oncorhynchus nerka, gorbuscha, keta, tschawytscha, kisutch, masou, rhodurus), Atlantic (Salmo salar) and Danube (Hucho hucho), includes fillets, but excludes edible fish offal;container
30542;Fish: smoked, whether or not cooked before or during smoking, herrings (Clupea harengus, Clupea pallasii), includes fillets, but excludes edible fish offal;container
30543;Fish: smoked, whether or not cooked before or during smoking, trout (Salmo trutta, Oncorhynchus mykiss/clarki/aguabonita/gilae/apache/chrysogaster), includes fillets, but excludes edible fish offal;container
30544;Fish: smoked, whether or not cooked before or during smoking, tilapias, catfish, carp, eels, Nile perch, and snakeheads, includes fillets, but excludes edible fish offal;container
30549;Fish: smoked, whether or not cooked before or during smoking, n.e.c. in item no. 0305.4, includes fillets, but excludes edible fish offal;container
30551;Fish: dried, whether or not salted but not smoked, other than edible fish offal, cod (Gadus morhua, Gadus ogac, Gadus macrocephalus);container
30552;Fish: dried, whether or not salted but not smoked, tilapias, catfish, carp, eels, Nile perch, and snakeheads;container
30553;Fish: dried, whether or not salted but not smoked, fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, other than cod;container
30554;Dried herrings, anchovies, sardines, sardinella, brisling or sprats, mackerel (incl Indian, jack, or horse), seerfishes, jacks, crevalles, cobia, silver pomfrets, Pacific saury, scads, capelin, swordfish, Kawakawa, bonitos, marlins, sailfishes, spearfish;container
30559;Fish: dried, whether or not salted but not smoked, other than edible fish offal, n.e.c. in item no. 0305.5;container
30561;Fish: salted or in brine, not dried or smoked, other than edible fish offal, herrings (Clupea harengas, Clupea pallasii);container
30562;Fish: salted or in brine, not dried or smoked, other than edible fish offal, cod (Gadus morhua, Gadus ogac, Gadus macrocephalus);container
30563;Fish: salted or in brine, not dried or smoked, other than edible fish offal, anchovies (Engrails spp.);container
30564;Fish: salted or in brine, not dried or smoked, other than edible fish offal, tilapias, catfish, carp, eels, Nile perch, and snakeheads;container
30569;Fish: salted or in brine, not dried or smoked, other than edible fish offal, n.e.c. in item no. 0305.6;container
30571;Fish: edible offal, shark fins;container
30572;Fish: edible offal, fish heads, tails and maws;container
30579;Fish: edible offal, other than shark fins, fish heads, tails and maws;container
30611;Crustaceans: frozen, rock lobsters and other sea crawfish (Palinurus spp., Panulirus spp., Jasus spp.), in shell or not, smoked, cooked or not before or during smoking: in shell, cooked by steaming or by boiling in water;container
30612;Crustaceans: frozen, lobsters (Homarus spp.), in shell or not, smoked, cooked or not before or during smoking: in shell, cooked by steaming or by boiling in water;container
30614;Crustaceans: frozen, crabs, in shell or not, smoked, cooked or not before or during smoking: in shell, cooked by steaming or by boiling in water;container
30615;Crustaceans: frozen, Norway lobsters (Nephrops norvegicus), in shell or not, smoked, cooked or not before or during smoking: in shell, cooked by steaming or by boiling in water;container
30616;Crustaceans: frozen, cold-water shrimps and prawns (Pandalus spp., Crangon crangon), in shell or not, smoked, cooked or not before or during smoking: in shell, cooked by steaming or by boiling in water;container
30617;Crustaceans: frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking: in shell, cooked by steaming or by boiling in water;container
30619;Crustaceans: frozen, n.e.c. in item no. 0306.1, in shell or not, smoked, cooked or not before or during smoking: in shell, cooked by steaming or by boiling in water: including edible flours, meals, and pellets of crustaceans;container
30631;Crustaceans: live, fresh or chilled, rock lobsters and other sea crawfish (Palinurus spp., Panulirus spp., Jasus spp.), in shell or not;container
30632;Crustaceans: live, fresh or chilled, lobsters (Homarus spp.), whether in shell or not;container
30633;Crustaceans: live, fresh or chilled, crabs, whether in shell or not;container
30634;Crustaceans: live, fresh or chilled, Norway lobsters (Nephrops norvegicus), in shell or not;container
30635;Crustaceans: live, fresh or chilled, cold-water shrimps and prawns (Pandalus spp., Crangon crangon), in shell or not;container
30636;Crustaceans: live, fresh or chilled, shrimps and prawns excluding cold-water varieties, in shell or not;container
30639;Crustaceans: live, fresh or chilled, n.e.c. in item no. 0306.3, in shell or not, including edible flours, meals, and pellets of crustaceans;container
30691;Crustaceans: rock lobsters and other sea crawfish (Palinurus spp., Panulirus spp., Jasus spp.), smoked, cooked or not, whether in shell or not, whether or not cooked before or during smoking;container
30692;Crustaceans: lobsters (Homarus spp.), smoked, cooked or not, whether in shell or not, whether or not cooked before or during smoking;container
30693;Crustaceans: crabs, smoked, cooked or not, whether in shell or not, whether or not cooked before or during smoking;container
30694;Crustaceans: Norway lobsters (Nephrops norvegicus), smoked, cooked or not, whether in shell or not, whether or not cooked before or during smoking;container
30695;Crustaceans: shrimps and prawns, smoked, cooked or not, whether in shell or not, whether or not cooked before or during smoking;container
30699;Crustaceans: smoked, whole, cooked or not, n.e.c. in item no. 0306.9, in shell or not, including edible flours, meals, and pellets of crustaceans;container
30711;Molluscs: oysters, whether in shell or not, live, fresh or chilled;container
30712;Molluscs: oysters, whether in shell or not, frozen;container
30719;Molluscs: oysters, whether in shell or not, dried, salted or in brine, smoked, cooked or not before or during the smoking process;container
30721;Molluscs: scallops, whether in shell or not, including queen scallops, of the genera Pecten, Chlamys or Placopecten, live, fresh or chilled;container
30722;Molluscs: scallops, whether in shell or not, including queen scallops of the genera Pecten, Chlamys or Placopecten, frozen;container
30729;Molluscs: scallops, whether in shell or not, including queen scallops of the genera Pecten, Chlamys or Placopecten, dried, salted, in brine, or smoked, cooked or not before or during the smoking process;container
30731;Molluscs: mussels (Mytilus spp., Perna spp.), whether in shell or not, live, fresh or chilled;container
30732;Molluscs: mussels (Mytilus spp., Perna spp.), whether in shell or not, frozen;container
30739;Molluscs: mussels (Mytilus spp., Perna spp.), whether in shell or not, dried, salted, in brine, or smoked, cooked or not before or during the smoking process;container
30742;Molluscs: cuttle fish and squid, whether in shell or not, live, fresh or chilled;container
30743;Molluscs: cuttle fish and squid, whether in shell or not, includes flours, meals, and pellets of molluscs, fit for human consumption, frozen;container
30749;Molluscs: cuttle fish and squid, whether in shell or not, includes flours, meals, and pellets of molluscs, fit for human consumption, dried, salted, in brine, or smoked, cooked or not before or during the smoking process;container
30751;Molluscs: octopus (Octopus spp.), live, fresh or chilled;container
30752;Molluscs: octopus (Octopus spp.), frozen;container
30759;Molluscs: octopus (Octopus spp.), dried, salted, in brine, or smoked, cooked or not before or during the smoking process;container
30760;Molluscs: snails, other than sea snails, whether in shell or not, live, fresh, chilled, frozen, dried, salted, in brine, or smoked, cooked or not before or during the smoking process;container
30771;Molluscs: clams, cockles and ark shells (families Arcidae, Arcticidae, Cardiidae, Donacidae, Hiatellidae, Mactridae, Mesodesmatidae, Myidae, Semelidae, Solecurtidae, Solenidae, Tridacnidae and Veneridae), whether in shell or not, live, fresh or chilled;container
30772;Molluscs: clams, cockles, ark shells (Arcidae, Arcticidae, Cardiidae, Donacidae, Hiatellidae, Mactridae, Mesodesmatidae, Myidae, Semelidae, Solecurtidae, Solenidae, Tridacnidae and Veneridae), whether in shell or not, frozen;container
30779;Molluscs: clams, cockle, ark shells (families Arcidae, Arcticidae, Cardiidae, Donacidae, Hiatellidae, Mactridae, Mesodesmatidae, Myidae, Semelidae, Solecurtidae, Solenidae, Tridacnidae, Veneridae), whether in shell or not, dried, salted, in brine, smoked;container
30781;Molluscs: abalone (Haliotis spp.), whether in shell or not, live, fresh or chilled;container
30782;Molluscs: stromboid conchs (Strombus spp.), whether in shell or not, live, fresh or chilled;container
30783;Molluscs: abalone (Haliotis spp.), whether in shell or not, frozen;container
30784;Molluscs: stromboid conchs (Strombus spp.), whether in shell or not, frozen;container
30787;Molluscs: abalone (Haliotis spp.), whether in shell or not, dried, salted, in brine, or smoked, cooked or not before or during the smoking process;container
30788;Molluscs: stromboid conchs (Strombus spp.), whether in shell or not, includes flours, meals, and pellets of molluscs, fit for human consumption, dried, salted, in brine, or smoked, cooked or not before or during the smoking process;container
30791;Molluscs: n.e.c. in heading 0307, whether in shell or not, includes flours, meals, and pellets of molluscs, fit for human consumption, live or fresh, chilled;container
30792;Molluscs: n.e.c. in heading 0307, whether in shell or not, includes flours, meals, and pellets of molluscs, fit for human consumption, frozen;container
30799;Molluscs: n.e.c. in heading 0307, whether in shell or not, includes flours, meals, and pellets of molluscs, fit for human consumption, dried, salted, in brine, or smoked, cooked or not before or during the smoking process;container
30811;Aquatic invertebrates: sea cucumbers (Stichopus japonicus, Holothuroidea), live, fresh or chilled;container
30812;Aquatic invertebrates: sea cucumbers (Stichopus japonicus, Holothuroidea), frozen;container
30819;Aquatic invertebrates: sea cucumbers (Stichopus japonicus, Holothuroidea), dried, salted or in brine, smoked, whether or not cooked before or during the smoking process;container
30821;Aquatic invertebrates: sea urchins (Strongylocentrotus spp., Paracentrotus lividus, Loxechinus albus, Echinus esculentus), live, fresh or chilled;container
30822;Aquatic invertebrates: sea urchins (Strongylocentrotus spp., Paracentrotus lividus, Loxechinus albus, Echinus esculentus), frozen;container
30829;Aquatic invertebrates: sea urchins (Strongylocentrotus spp., Paracentrotus lividus, Loxechinus albus, Echinus esculentus), dried, salted or in brine, smoked, whether or not cooked before or during smoking process;container
30830;Aquatic invertebrates: jellyfish (Rhopilema spp.), live, fresh, chilled, frozen, dried, salted or in brine, smoked, whether or not cooked before or during smoking;container
30890;Aquatic invertebrates: other than crustaceans, molluscs, sea urchins, sea cucumbers and jellyfish, live, fresh, chilled, frozen, dried, salted or in brine, smoked, cooked or not before or during smoking, includes edible flours, meals, and pellets;container
